uid	name	rank	parent	description	last_modified	common_name	species_count	split1	short_description

124	Onychiuridae	family	Poduromorpha	An order of springtails, small arthropods that thrive in moist environments, where they feed on decaying plant material. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	Blind Springtails	3	0	An order of springtails, small arthropods that thrive in moist environments, where they feed on decaying plant material.

125	Ceratophyllidae	family	Siphonaptera	Ceratophyllidae is an order of parasitic fleas primarily infesting rodents and other mammals. These fleas are known for their flattened bodies and specialized mouthparts, which allow them to feed on their host's blood and spread diseases. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	flea beetles	7	0	Ceratophyllidae is an order of parasitic fleas primarily infesting rodents and other mammals.

126	Diplocentridae	family	Scorpiones	Family of robust scorpions mainly found in tropical and subtropical regions, often characterized by strong pincers. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	toothed scorpions	1	0	Family of robust scorpions mainly found in tropical and subtropical regions, often characterized by strong pincers.

127	Himantariidae	family	Geophilomorpha	An order of freshwater crustaceans, commonly known as horseshoe crabs, recognized for their ancient lineage and ecological significance. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	long centipedes	1	0	An order of freshwater crustaceans, commonly known as horseshoe crabs, recognized for their ancient lineage and ecological significance.

128	Triopsidae	family	Notostraca	Triopsidae is a family of freshwater crustaceans known for their ability to survive in temporary water bodies, such as rain pools or temporary ponds. These organisms have a distinctive three-eyed appearance and are often referred to as 'living fossils' due to their ancient lineage and primitive characteristics. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	tadpole shrimp	20	0	Triopsidae is a family of freshwater crustaceans known for their ability to survive in temporary water bodies, such as rain pools or temporary ponds.

129	Asilidae	family	Diptera	Family of predatory flies commonly called robber flies, characterized by strong, spiny legs and piercing-sucking mouthparts. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	robber flies	20	0	Family of predatory flies commonly called robber flies, characterized by strong, spiny legs and piercing-sucking mouthparts.

130	Pyralidae	family	Lepidoptera	An order of moths, commonly known as snout moths, recognized for their distinctive snout-like projection and their role in agricultural pest control. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	snout moths	1	0	An order of moths, commonly known as snout moths, recognized for their distinctive snout-like projection and their role in agricultural pest control.

131	Tarachodidae	family	Mantodea	An order of parasitic wasps, known for laying their eggs inside the bodies of other insects, whose larvae consume the host. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	ground mantises	1	0	An order of parasitic wasps, known for laying their eggs inside the bodies of other insects, whose larvae consume the host.

132	Epipsocidae	family	Psocodea	An order of barklice, small insects typically found on tree trunks, where they feed on algae and fungi. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	elliptical barklice	1	0	An order of barklice, small insects typically found on tree trunks, where they feed on algae and fungi.

133	Colletidae	family	Hymenoptera	Order of solitary bees known for lining their brood cells with secretions that create a waterproof membrane. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	plasterer bees	1	0	Order of solitary bees known for lining their brood cells with secretions that create a waterproof membrane.

134	Belostomatidae	family	Hemiptera	Order of aquatic insects known as giant water bugs, exhibiting strong predatory behavior and paternal care by carrying eggs. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	giant water bugs	20	0	Order of aquatic insects known as giant water bugs, exhibiting strong predatory behavior and paternal care by carrying eggs.

135	Cerambycidae	family	Coleoptera	Family of longhorn beetles characterized by extremely long antennae, with larvae that bore into wood and can impact forestry. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	longhorn beetles	20	0	Family of longhorn beetles characterized by extremely long antennae, with larvae that bore into wood and can impact forestry.

136	Pentatomidae	family	Hemiptera	Pentatomidae, commonly known as stink bugs, are shield-shaped insects found in agricultural and natural habitats worldwide. Many species are herbivores that feed on plant sap, often damaging crops, while some are predatory. They emit a pungent odor as a defense mechanism. Their ecological roles range from pest to biocontrol agent, and they exhibit piercing-sucking mouthparts. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	stink bugs	20	0	Pentatomidae, commonly known as stink bugs, are shield-shaped insects found in agricultural and natural habitats worldwide.

137	Sminthurididae	family	Hexapoda	An order of springtails, small soil-dwelling arthropods known for their ability to jump using a tail-like appendage, playing a role in decomposition. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	Globular Springtails	1	0	An order of springtails, small soil-dwelling arthropods known for their ability to jump using a tail-like appendage, playing a role in decomposition.

138	Delphacidae	family	Hemiptera	Family of plant-feeding planthoppers, many associated with grasses and including economically important agricultural pests. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	delphacid planthoppers	6	0	Family of plant-feeding planthoppers, many associated with grasses and including economically important agricultural pests.

139	Olindiidae	family	Hydrozoa	An order of parasitic wasps, whose larvae feed on the bodies of other insects, often contributing to pest control. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	freshwater jellyfish	1	0	An order of parasitic wasps, whose larvae feed on the bodies of other insects, often contributing to pest control.

140	Solpugidae	family	Solifugae	An order of arachnids, also known as sun spiders or camel spiders, recognized for their fast movement and aggressive predation of smaller invertebrates. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	sun spiders	4	0	An order of arachnids, also known as sun spiders or camel spiders, recognized for their fast movement and aggressive predation of smaller invertebrates.

141	Psocidae	family	Psocodea	An order of booklice, small insects that are commonly found in damp environments, feeding on mold and mildew, particularly in homes and forests. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	common barklice	8	0	An order of booklice, small insects that are commonly found in damp environments, feeding on mold and mildew, particularly in homes and forests.

142	Tenebrionidae	family	Coleoptera	An order of darkling beetles, known for their resilience and ability to live in dry, arid environments, with many species being important decomposers. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	darkling beetles	1	0	An order of darkling beetles, known for their resilience and ability to live in dry, arid environments, with many species being important decomposers.

143	Phytoseiidae	family	Mesostigmata	An order of predatory mites, often used in biological pest control to manage populations of harmful insects like aphids and spider mites. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	predatory mites	2	0	An order of predatory mites, often used in biological pest control to manage populations of harmful insects like aphids and spider mites.

144	Cypridinidae	family	Myodocopida	Family of small, bioluminescent ostracods found primarily in marine environments, important in mating displays and predator avoidance. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	seed shrimps	2	0	Family of small, bioluminescent ostracods found primarily in marine environments, important in mating displays and predator avoidance.

145	Leptoceridae	family	Trichoptera	An order of caddisflies, known for their aquatic larvae, which construct protective cases out of debris and vegetation in streams and ponds. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	long-horned caddisflies	3	0	An order of caddisflies, known for their aquatic larvae, which construct protective cases out of debris and vegetation in streams and ponds.

146	Ichneumonidae	family	Hymenoptera	Ichneumonidae is a large family of parasitic wasps that lay eggs in or on other arthropods, particularly larvae of butterflies, beetles, and flies. Found in diverse terrestrial ecosystems, they are crucial regulators of insect populations. Adults feed on nectar, while larvae consume hosts from within. Their long ovipositors and slim bodies are key features. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	ichneumon wasps	3	0	Ichneumonidae is a large family of parasitic wasps that lay eggs in or on other arthropods, particularly larvae of butterflies, beetles, and flies.

147	Tetrigidae	family	Orthoptera	An order of grasshoppers, often referred to as pygmy grasshoppers, characterized by their small size and camouflage in grass and shrubs. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	pygmy grasshoppers	1	0	An order of grasshoppers, often referred to as pygmy grasshoppers, characterized by their small size and camouflage in grass and shrubs.

148	Cicadellidae	family	Hemiptera	Order of plant-feeding insects known as leafhoppers, capable of agile jumping and sometimes vectors of plant pathogens. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	leafhoppers	20	0	Order of plant-feeding insects known as leafhoppers, capable of agile jumping and sometimes vectors of plant pathogens.

149	Culicidae	family	Diptera	Family of mosquitoes, blood-feeding insects with aquatic larval stages, important vectors of human and animal diseases. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	mosquitoes	20	0	Family of mosquitoes, blood-feeding insects with aquatic larval stages, important vectors of human and animal diseases.

150	Carabidae	family	Coleoptera	Carabidae, or ground beetles, are a large family of predatory beetles that feed on other invertebrates. They are commonly found in a variety of habitats, from forests to fields, where they play an important role in controlling insect populations and maintaining ecosystem balance. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	ground beetles	33	0	Carabidae, or ground beetles, are a large family of predatory beetles that feed on other invertebrates.

151	Mycetophilidae	family	Diptera	An order of fungus gnats, small flies whose larvae feed on decaying organic material and fungi, often found in damp environments. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	fungus gnats	3	0	An order of fungus gnats, small flies whose larvae feed on decaying organic material and fungi, often found in damp environments.

152	Capitellidae	family	Capitellida	Family of burrowing marine polychaete worms that dominate soft muddy habitats, playing key roles in sediment turnover. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	bristle worms	3	0	Family of burrowing marine polychaete worms that dominate soft muddy habitats, playing key roles in sediment turnover.

153	Acaridae	family	Sarcoptiformes	Minute mites commonly found in soil, decaying organic matter, and stored products, many species associated with fungal growth. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	Mold mites	2	0	Minute mites commonly found in soil, decaying organic matter, and stored products, many species associated with fungal growth.

154	Formicidae	family	Hymenoptera	Formicidae, or ants, are eusocial insects with complex colony structures, found in nearly all terrestrial ecosystems. Their roles include soil aeration, seed dispersal, scavenging, and predation. Diets vary widely, from plant materials to prey. Ant colonies may include multiple castes with distinct functions. Antennae, elbowed legs, and social cooperation define their biology. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	ants	91	0	Formicidae, or ants, are eusocial insects with complex colony structures, found in nearly all terrestrial ecosystems.

155	Peripatidae	family	Onychophora	Peripatidae comprises tropical velvet worms that inhabit moist forest leaf litter and rotting wood. These soft-bodied, segmented invertebrates are ambush predators that use sticky slime jets to capture small arthropods. They are notable for their lobopod limbs, slow movement, and reproductive strategies that include live birth. They represent a link between arthropods and annelids in evolutionary studies. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	tropical velvet worms	11	0	Peripatidae comprises tropical velvet worms that inhabit moist forest leaf litter and rotting wood.

156	Blaberidae	family	Blattodea	Order of large-bodied cockroaches, primarily tropical, some of which exhibit social behaviors and live-bearing reproduction. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	giant cockroaches	10	0	Order of large-bodied cockroaches, primarily tropical, some of which exhibit social behaviors and live-bearing reproduction.

157	Philopteridae	family	Phthiraptera	Philopteridae is a family of lice that primarily parasitize birds. These small, wingless insects feed on the blood and skin of their hosts, causing irritation. Some species can also transmit pathogens, leading to diseases among bird populations, particularly in crowded or unsanitary conditions. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	bird lice	2	0	Philopteridae is a family of lice that primarily parasitize birds.

158	Fanniidae	family	Diptera	An order of small flies, known for their ability to feed on decaying organic matter and for some species being pests of livestock. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	lesser house flies	2	0	An order of small flies, known for their ability to feed on decaying organic matter and for some species being pests of livestock.

159	Pyemotidae	family	Trombidiformes	An order of springtails, small arthropods found in leaf litter and soil, where they play a key role in decomposing organic material. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	parasitic mites	1	0	An order of springtails, small arthropods found in leaf litter and soil, where they play a key role in decomposing organic material.

160	Crabronidae	family	Hymenoptera	Crabronidae are solitary predatory wasps that provision their nests with paralyzed prey, which serves as food for their developing larvae. These wasps are important natural pest controllers, found in a variety of habitats, from woodlands to grasslands, where they hunt and capture other invertebrates. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	square-headed wasps	1	0	Crabronidae are solitary predatory wasps that provision their nests with paralyzed prey, which serves as food for their developing larvae.

161	Darwinulidae	family	Podocopida	Family of freshwater ostracods with ancient origins, notable for their long-term asexual reproduction and ecological stability. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	Darwinulid Ostracods	2	0	Family of freshwater ostracods with ancient origins, notable for their long-term asexual reproduction and ecological stability.

162	Chthoniidae	family	Pseudoscorpiones	Family of small pseudoscorpions with compact bodies, often inhabiting soil, leaf litter, and caves, preying on tiny arthropods. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	soil pseudoscorpions	3	0	Family of small pseudoscorpions with compact bodies, often inhabiting soil, leaf litter, and caves, preying on tiny arthropods.

163	Trachelipodidae	family	Isopoda	An order of parasitic wasps, known for their parasitic behavior, where they lay eggs in or on other insects, with larvae feeding on the host. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	rough woodlice	1	0	An order of parasitic wasps, known for their parasitic behavior, where they lay eggs in or on other insects, with larvae feeding on the host.

164	Papilionidae	family	Lepidoptera	An order of butterflies, commonly known for their large size and colorful patterns, with several species being important pollinators. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	swallowtail butterflies	2	0	An order of butterflies, commonly known for their large size and colorful patterns, with several species being important pollinators.

165	Anisolabididae	family	Dermaptera	Family of robust earwigs distinguished by thick, forceps-like cerci and a preference for moist soil and litter habitats. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	Ringlegged earwigs	5	0	Family of robust earwigs distinguished by thick, forceps-like cerci and a preference for moist soil and litter habitats.

166	Gryllidae	family	Orthoptera	Gryllidae includes crickets, characterized by their long antennae, powerful hind legs for jumping, and sound-producing abilities in males. Most are nocturnal omnivores or herbivores, living in grasslands, forests, and human-altered habitats. They contribute to nutrient cycling and serve as prey for many animals. Chirping is used for communication and mate attraction. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	true crickets	17	0	Gryllidae includes crickets, characterized by their long antennae, powerful hind legs for jumping, and sound-producing abilities in males.

167	Corydalidae	family	Megaloptera	Corydalidae is a family of large aquatic insects, including dobsonflies and fishflies, known for their impressive size and long, delicate wings. Their larvae are aquatic and serve as an important food source for fish and other predators in freshwater ecosystems. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	dobsonflies	20	0	Corydalidae is a family of large aquatic insects, including dobsonflies and fishflies, known for their impressive size and long, delicate wings.

168	Anoplura	family	Psocodea	Order of obligate blood-sucking lice adapted to mammals, characterized by narrow heads and highly specialized piercing mouthparts. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	Sucking lice	1	0	Order of obligate blood-sucking lice adapted to mammals, characterized by narrow heads and highly specialized piercing mouthparts.

169	Curculionidae	family	Coleoptera	Family of true weevils, distinguished by their long snouts and plant-feeding habits, many species are serious agricultural pests. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	weevils	35	0	Family of true weevils, distinguished by their long snouts and plant-feeding habits, many species are serious agricultural pests.

170	Spongiphoridae	family	Dermaptera	An order of parasitic wasps, known for their larvae, which develop inside other insects, often helping control pest populations. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	little earwigs	4	0	An order of parasitic wasps, known for their larvae, which develop inside other insects, often helping control pest populations.

171	Diplatyidae	family	Dermaptera	Family of earwigs with elongated bodies and cerci, typically inhabiting leaf litter and moist microhabitats. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	diplatyid earwigs	1	0	Family of earwigs with elongated bodies and cerci, typically inhabiting leaf litter and moist microhabitats.

172	Geogarypidae	family	Pseudoscorpiones	An order of predatory wasps, often found in arid environments, where they hunt and paralyze other insects to serve as food for their larvae. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	geogarypid pseudoscorpions	1	0	An order of predatory wasps, often found in arid environments, where they hunt and paralyze other insects to serve as food for their larvae.

173	Cicadidae	family	Hemiptera	Order of large-bodied insects known for their resonant mating calls and life cycles often involving long subterranean nymphal stages. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	cicadas	19	0	Order of large-bodied insects known for their resonant mating calls and life cycles often involving long subterranean nymphal stages.

174	Cecidomyiidae	family	Diptera	Family of tiny flies known for inducing plant galls or acting as important predators or fungivores in ecosystems. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	gall midges	3	0	Family of tiny flies known for inducing plant galls or acting as important predators or fungivores in ecosystems.

175	Leptophlebiidae	family	Ephemeroptera	An order of mayflies, known for their brief adult life stages, with larvae that play a crucial role in freshwater ecosystems. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	prong-gilled mayflies	4	0	An order of mayflies, known for their brief adult life stages, with larvae that play a crucial role in freshwater ecosystems.

176	Yponomeutidae	family	Lepidoptera	An order of moths, known for their larvae, which often feed on the leaves of trees and shrubs, sometimes causing significant defoliation. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	ermine moths	1	0	An order of moths, known for their larvae, which often feed on the leaves of trees and shrubs, sometimes causing significant defoliation.

177	Taeniopterygidae	family	Plecoptera	An order of stoneflies, recognized for their long wings and their larvae, which are typically found in clean, fast-flowing freshwater habitats. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	winter stoneflies	3	0	An order of stoneflies, recognized for their long wings and their larvae, which are typically found in clean, fast-flowing freshwater habitats.

178	Coccinellidae	family	Coleoptera	Family of ladybird beetles, generally beneficial predators of soft-bodied pests like aphids, but some species herbivorous. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	lady beetles	20	0	Family of ladybird beetles, generally beneficial predators of soft-bodied pests like aphids, but some species herbivorous.

179	Polynoidae	family	Phyllodocida	An order of polychaete worms, known for their brightly colored bristles and their role in marine ecosystems as detritivores. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	scale worms	1	0	An order of polychaete worms, known for their brightly colored bristles and their role in marine ecosystems as detritivores.

180	Heteropterygidae	family	Phasmatodea	Heteropterygidae is a family of large, leaf-like stick insects that are masters of camouflage. These insects mimic leaves and twigs to avoid predators. Slow-moving and nocturnal, they feed on foliage and are often found in tropical and subtropical forests where they remain well-hidden from potential threats. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	thorny stick insects	4	0	Heteropterygidae is a family of large, leaf-like stick insects that are masters of camouflage.

181	Mantidae	family	Mantodea	An order of predatory insects, known as praying mantids, recognized for their large front legs, used for capturing prey. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	praying mantises	11	0	An order of predatory insects, known as praying mantids, recognized for their large front legs, used for capturing prey.

182	Trichoniscidae	family	Isopoda	An order of woodlice, commonly found in moist environments, where they feed on decaying plant matter and help with nutrient cycling. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	cave woodlice	1	0	An order of woodlice, commonly found in moist environments, where they feed on decaying plant matter and help with nutrient cycling.

183	Kalotermitidae	family	Blattodea	An order of termites, known for their ability to break down wood and other plant material, helping recycle organic matter in ecosystems. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	drywood termites	4	0	An order of termites, known for their ability to break down wood and other plant material, helping recycle organic matter in ecosystems.

184	Japygidae	family	Diplura	Japygidae is a family of forceps-bearing insects that inhabit moist environments like decaying organic matter or under stones. These insects use their large cerci (forceps) to capture and hold onto smaller prey, including other invertebrates, which they feed on. They play an important role in breaking down organic matter. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	forcepstails	3	0	Japygidae is a family of forceps-bearing insects that inhabit moist environments like decaying organic matter or under stones.

185	Ceratopogonidae	family	Diptera	Ceratopogonidae, commonly known as biting midges, are tiny insects that feed on the blood of vertebrates. Some species are significant disease vectors, transmitting viruses such as bluetongue in livestock. These midges are typically found in wetlands and coastal regions. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	biting midges	3	0	Ceratopogonidae, commonly known as biting midges, are tiny insects that feed on the blood of vertebrates.

186	Trichodectidae	family	Psocodea	Trichodectidae is a family of lice that primarily parasitize mammals, including domesticated animals like dogs. These lice feed on the blood and skin of their hosts, causing discomfort and sometimes transmitting pathogens. They are often controlled through veterinary treatments to protect pets and livestock. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	chewing lice	3	0	Trichodectidae is a family of lice that primarily parasitize mammals, including domesticated animals like dogs.

187	Armadillidae	family	Isopoda	Order of isopods including species with highly domed bodies and the ability to enroll completely into a protective sphere. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	pill bugs	1	0	Order of isopods including species with highly domed bodies and the ability to enroll completely into a protective sphere.

188	Trombiculidae	family	Trombidiformes	An order of mites, commonly known as chiggers, whose larvae are parasitic and feed on the skin of mammals and birds. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	chiggers	2	0	An order of mites, commonly known as chiggers, whose larvae are parasitic and feed on the skin of mammals and birds.

189	Spirostreptidae	family	Spirostreptida	An order of millipedes, known for their large size and ability to coil up as a defense mechanism, commonly found in tropical regions. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	giant millipedes	2	0	An order of millipedes, known for their large size and ability to coil up as a defense mechanism, commonly found in tropical regions.

190	Superstitioniidae	family	Scorpiones	An order of parasitic wasps, known for laying their eggs in the bodies of other insects, where their larvae feed on the host. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	cave whip scorpions	1	0	An order of parasitic wasps, known for laying their eggs in the bodies of other insects, where their larvae feed on the host.

191	Tomoceridae	family	Hexapoda	An order of springtails, small soil-dwelling arthropods that play a vital role in the decomposition of organic matter and nutrient cycling. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	large springtails	2	0	An order of springtails, small soil-dwelling arthropods that play a vital role in the decomposition of organic matter and nutrient cycling.

192	Streptocephalidae	family	Anostraca	An order of fairy shrimp, known for their ability to thrive in temporary water bodies and their role in aquatic food webs. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	fairy shrimp	2	0	An order of fairy shrimp, known for their ability to thrive in temporary water bodies and their role in aquatic food webs.

193	Lucanidae	family	Coleoptera	Lucanidae, or stag beetles, are recognized by their large mandibles, especially in males, which are used in combat over mates. Found in wooded habitats across the globe, their larvae develop in decaying wood, contributing to decomposition. Adults feed on sap and fruit and are important components of forest ecosystems. They exhibit sexual dimorphism and strong armor-like exoskeletons. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	stag beetles	20	0	Lucanidae, or stag beetles, are recognized by their large mandibles, especially in males, which are used in combat over mates.

194	Ectopsocidae	family	Psocodea	Ectopsocidae are a family of parasitic lice that are often found on the bodies of other insects. These lice feed on the host's blood or body fluids and can affect the health of their hosts, which include a variety of insect species. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	outer barklice	1	0	Ectopsocidae are a family of parasitic lice that are often found on the bodies of other insects.

195	Muscidae	family	Diptera	An order of flies, commonly known as houseflies, recognized for their ability to spread diseases as they feed on decaying organic matter. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	house flies	14	0	An order of flies, commonly known as houseflies, recognized for their ability to spread diseases as they feed on decaying organic matter.

196	Chloroperlidae	family	Plecoptera	Order of small stoneflies often associated with cold, fast-flowing streams, important indicators of water quality. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	green stoneflies	4	0	Order of small stoneflies often associated with cold, fast-flowing streams, important indicators of water quality.

197	Pteronarcyidae	family	Plecoptera	An order of stoneflies, known for their aquatic larvae, which thrive in clean, fast-flowing freshwater environments, where they contribute to aquatic food chains. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	giant stoneflies	1	0	An order of stoneflies, known for their aquatic larvae, which thrive in clean, fast-flowing freshwater environments, where they contribute to aquatic food chains.

198	Amblypygidae	family	Amblypygi	Family of flat-bodied arachnids with spiny pedipalps, known for fast sideways movements and nocturnal predation in tropical forests. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	Whip spiders	1	0	Family of flat-bodied arachnids with spiny pedipalps, known for fast sideways movements and nocturnal predation in tropical forests.

199	Polyplacidae	family	Psocodea	An order of marine invertebrates, also known as polyplacophorans or chitons, recognized for their eight-plated body structure. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	rodent lice	1	0	An order of marine invertebrates, also known as polyplacophorans or chitons, recognized for their eight-plated body structure.

200	Meloidae	family	Coleoptera	An order of beetles, known as blister beetles, recognized for their ability to secrete a toxic substance, which can cause irritation to humans. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	blister beetles	2	0	An order of beetles, known as blister beetles, recognized for their ability to secrete a toxic substance, which can cause irritation to humans.

201	Lycaenidae	family	Lepidoptera	An order of butterflies, known for their bright colors and small size, many of which have mutualistic relationships with ants. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-04-30 23:51:58	gossamer-winged butterflies	2	0	An order of butterflies, known for their bright colors and small size, many of which have mutualistic relationships with ants.

202	Ptinidae	family	Coleoptera	An order of beetles, commonly known as death-watch beetles, recognized for their larvae that feed on wood and stored products. Members of this group often exhibit specialized adaptations that support their role in ecosystem processes and species interactions.	2025-05-02 00:07:11	spider beetles and deathwatch beetles	2	0	An order of beetles, commonly known as death-watch beetles, recognized for their larvae that feed on wood and stored products.

